6,They do not accept checks and the chair recliners are a little short for taller people.

6,UPDATE 12/17/2018:  New recliner seats and a general refresh of the theaters has happened in the past month and it is now a significantly better experience...

6,"My Grandma and I always go to this theater together, we saw annabelle 2 when it first came out and it was great. cleaned nicely. there was a worker there..."

11,Wow! The tastiest Pork Chop I have eaten in a LONG time. Great service and the Potato Skins app was really good. They do give you a LOT of food and a to go...

11,"Wings were cooked right!!  #Tiptop 
   All Food coming out of the kitchen looked terrific. Service at the bar was off!  
       Dinning room was hopping and..."

11,Grand Slam is a sports-themed restaurant in a strip mall with a fairly predictable menu heavy on fried foods but one that also takes a few chances and...

14,Amazing food and some how even better atmosphere.  Amazing tavern wish my family was with me I could hang out here all day. I wish I lived here

14,"We stopped while driving by on I-86 and really enjoyed it!
We each had a great sandwich, and service was incredible.  I highly recommend."

14,"The food here is very very good.  I had the Triple B burger, and it was exceptional.  
The drinks are reasonably priced, the staff are very friendly and the..."

22,"Allegheny State Park opened in July of 1921 and since that time
This fabulous State Park has grown to more then 65,000 acres
Of nature trails, sand beaches..."

22,"January 2019 update: Stayed in Congdon, the cabins were cleaner with less graffiti. Only downside was that Congdon was a little farther from the lake and..."

22,So far we have only really stopped by to check out the Thunder Rocks area on a day we spent visiting all the rock formation sites around there (Also Rock...

22,Just had the absolute best fish fry in all western NY. This is great place to eat and enjoy the view The portion was huge not grease or over cooked. I also...
25,"It's a great spot for a little unique hiking. Parking is free and admission is $5 per person. The lady at the counter was very friendly and welcoming. 

The..."

25,"A drive through the countryside away, Rock City Park is a little further than a stone's throw for most visitors. But it's worth the trip!

Upon arriving at..."

25,"Photos do not do this small park justice.  It's quirky, educational, and fun.   If you want to rush (why just why?) it could be done in 45 mins.  But that's..."

33,My family recently went camping here with our new RV. We had a really nice time!  The way the campground is set up is great.  It doesn't feel like everybody...

41,Great place to eat away your hangover after a big night out at Bonnies. Food is standard diner fare and it hits the spot. Eat here late so you can...

41,My husband & I ate dinner here while in town visiting a friend & we were not disappointed! We both got burgers & they were some of the best burgers we've...

41,Ordered Liver & onions w/xtra gravy. Impressed. Liver very tender. Don't need steak knife to cut it. Jerk burger is mildly spiced. Had it with all the...

43,"First I would like to say- CONGRATULATIONS YELP!  You have done it again!  You are a leading source of misinformation!
I am not from the area.  This place..."

43,"Drinks are reasonably priced here.  You can even look drinks up on the Internet on your phone, and as long as you show them the ingredients, they will try..."

43,"Haute cuisine it isn't. But a great Friday night fish fry it is. 

The fish is beer battered and has that nice fluffy batter that makes it seem like..."

44,Food was tasty.  Service was quick.  The place was quite busy with only one server however.  Everything seemed fresh.  The salsa and chips was fresh.  The...

44,"Been meaning to eat here for a while, I've heard nothing but good things about it. The food was very good but you better speak fluent Spanish if you wanna..."

44,This is the best Authentic Mexican Cuisine that you can in have in this area! Not too mention they also have mucho grande margaritas. The atmosphere is...

45,"A wonderful little piece of heaven in Allegany! As a person who has some food sensitivities, it's great to know there's a place to eat! I had an amazing..."

45,"Great little organic market with fresh made sandwiches, wraps, soups and smoothies.  Love the Kimchee that they make!"

